index,names,authorId,message,aliases,citationCount,papers
0,Adriana Iamnitchi,1986996,,,,
1,Alejandro Noriega Campero,31738766,,"['Alejandro Campero', 'Alejandro Noriega Campero']",17.0,Computer Science
2,Alessandro Cossard,2078464034,,,80.0,Computer Science
3,Alex Pentland,2069315974,,"['A. Pentland', 'Alex Pentland']",122.0,Computer Science
4,Alexander Robertson,2070173005,,"['A Robertson', 'Alexander F. Robertson', 'Alexander Robertson']",17.0,Sociology
5,Alexandra Olteanu,30695829,,"['I. Olteanu', 'Ioana Olteanu', 'Ioana Alexandra Olteanu']",61.0,Medicine
6,Alexandra Schofield,2064372444,,"['A. Schofield', 'Alexandra Schofield']",0.0,Geography
7,Ali Faqeeh,3028190,,,181.0,Computer Science
8,Alina Sirbu,39496312,,"['Alin Sirbu', 'Alina Sirbu', 'Alina Ŝırbu', 'Alina Sîrbu', 'A N Sirbu']",833.0,Computer Science
9,Amit Sharma,2109647303,,"['Amit K. Sharma', 'Amit Sharma', 'Amitesh Sharma', 'Amit Kumar Sharma']",49.0,Computer Science
10,Andrea Bonanomi,48866094,,"['A. Bonanomi', 'Andrea Bonanomi']",1033.0,Psychology
11,Andreas Diekmann,2078552030,,"['A. Diekmann', 'Andreas Diekmann', 'Andreas Dr. Diekmann']",28.0,Materials Science
12,Andreia Sofia Teixeira,144747175,,"['Andreia Teixeira', 'Andreia Sofia Teixeira']",71.0,Mathematics
13,Andrew Rosenberg,46453660,,"['Andrew. Rosenberg', 'A A Rosenberg', 'Andrew A. Rosenberg', 'A. A. Rosenberg', 'Andrew A Rosenberg', 'Andrew Rosenberg']",11855.0,Biology
14,Aniket Alam,33913983,,,28.0,Geography
15,Anne Cornelia Kroon,21467751,,"['A. C. Kroon', 'Anne C. Kroon', 'Anne C Kroon', 'Anne Cornelia Kroon']",227.0,Psychology
16,Anton Boichenko,1740991842,,"['Anton Boichenko', 'Anton N Boichenko']",22.0,Medicine
17,Antonio Arechar,9549601,,"['Antonio A. Arechar', 'Antonio Arechar', 'Antonio A Arechar', 'Antonio Alonso Arechar']",941.0,Medicine
18,Antonio Lima,2072824108,,"['Antonio Lima', 'Antonio Medina Lima']",5.0,Medicine
19,Antonio Molins,133632719,,"['Alfonso Molins', 'Antonio Molins', 'Antonio María Segarra Molins']",0.0,Computer Science
20,Anxo Sanchez,2109843146,,['Anxo Sanchez'],1.0,Economics
21,Arseny Rasov,,,,,
22,Aurelie Nardy,,,,,
23,Ayush K. Rai,2053981547,,"['Ayush K Rai', 'Ayush K. Rai', 'Ayush Kumar Rai']",117.0,Computer Science
24,Ben Thies,153451463,,,26.0,Computer Science
25,Benjamin Meindl,2080374433,,,78.0,Computer Science
26,Bernard Koch,5428313,,"['Bernard J Koch', 'Bernard J. Koch']",702.0,Medicine
27,Bernard Rimé,2062873873,,"['B. Rimé', 'Bernard Rimé']",206.0,Psychology
28,Bernardo Garcia Bulle,2123091329,,,3.0,Physics
