,Paper ID,Abstract
0,45b494fd43a053914c66c2fd10709e4f6fd5501b,"Chemical evolution is essential in understanding the origins of life. We present a theory for the evolution of molecule masses and show that small molecules grow by random diffusion and large molecules by a preferential attachment process leading eventually to life's molecules. It reproduces correctly the distribution of molecules found via mass spectroscopy for the Murchison meteorite and estimates the start of chemical evolution back to 12.8 billion years following the birth of stars and supernovae. From the Frontier mass between the random and preferential attachment dynamics the birth time of molecule families can be estimated. Amino acids emerge about 165 million years after the start of evolution. Using the scaling of reaction rates with the distance of the molecules in space we recover correctly the few days emergence time of amino acids in the Miller-Urey experiment. The distribution of interstellar and extragalactic molecules are both consistent with the evolutionary mass distribution, and their age is estimated to 108 and 65 million years after the start of evolution. From the model, we can determine the number of different molecule compositions at the time of the creation of Earth to be 1.6 million and the number of molecule compositions in interstellar space to a mere 719."
1,322c7a271ed7d44e8c7af932a66be392d4d3ad38,"Normal human fibroblasts and fibroblasts from a patient with alpha-mannosidosis were grown in the presence or absence of 100 microM swainsonine for 7 days. Accumulated oligosaccharides were isolated and analysed by high performance liquid chromatography (HPLC) and methylation analysis. Man alpha 1----3Man beta 1----4GlcNAc and Man alpha 1----2Man alpha 1----3-Man beta 1----4GlcNAc (where Man is D-mannose and GlcNAc is N-acetyl-D-glucosamine) comprised greater than 80% of the total oligosaccharides in untreated mannosidosis cells. However, Man alpha 1----6[Man alpha 1----3]Man beta 1----4GlcNAc was the major Man3GlcNAc isomer present after 7 days of swainsonine treatment. No mannose-containing oligosaccharides were detected in control fibroblasts in the absence of swainsonine but, in its presence, oligosaccharides containing 2-9 mannose residues accumulated. Man alpha 1----6[Man alpha 1----3]-Man alpha 1----6[Man alpha 1----3]Man beta 1----4GlcNAc and Man alpha 1----6-[Man alpha 1----3]Man beta 1----4GlcNAc were the major components (67%). Surprisingly, Man alpha 1----3Man beta 1----4GlcNAc was only observed in swainsonine-treated control cells during the recovery period after removal of swainsonine. These studies suggest the presence of a second lysosomal alpha-mannosidase activity which is unaffected in genetic alpha-mannosidosis, but is inhibited by swainsonine. This enzyme would cleave the alpha(1----6)-linked mannose residue from branched Man3GlcNAc to form Man alpha 1----3Man beta 1----4GlcNAc. To confirm this hypothesis, fractions from alpha-mannosidosis and control fibroblasts that bound to concanavalin A (ConA)-Sepharose and were eluted with 0.5 M alpha-methyl mannoside were incubated at pH 4.0 with Man alpha 1----6[Man alpha 1----3]Man beta 1----4-GlcNAc. As anticipated, Man alpha 1----3Man beta 1----4GlcNAc was the sole product using enzyme from mannosidosis fibroblasts, while the major product from control fibroblasts was Man alpha 1----6Man beta 1----4GlcNAc. This confirmed the presence of a swainsonine-inhibitable alpha(1----6)-mannosidase activity unaffected by the disease. The differing substrate specificities of the alpha(1----6)-mannosidase and the major lysosomal alpha-mannosidase indicate that the alpha(1----6)-mannosidase plays an important role in the generation of the oligosaccharides accumulated in alpha-mannosidosis patients."
2,00d6a05626466f001f717d899d2bdb4bc4c90a52,"Researchers, particularly in the area of ubiquitous and wearable computing, often spend significant amount of effort and time in developing devices and/or apps for data collection. Most of the apps and devices are customized with limited options, and they are usually non-generic or publicly unavailable. In this paper, we present WaDa, an easy to use app for sensor data collection from commercial off-the-shelf Android smart watches. It provides handy features such as user-defined labels, time synchronization, sensor selection, and data navigation. WaDa, freely available for research and academic purposes, facilitates prompt data collection without requiring expertise and effort for custom device/app development."
3,87f04fd3b32d61e1ce2d671c2166027f43330fad,
4,60e5480e63a977faf7d26fec795455d1852431cd,
5,7d50c5e84bbb5d5fb9ef810bca82305ce41d949a,
6,5cb893b93339db0498f3f9053a9e90b781b73420,
7,50581ce64ac895b536fefb5f607e5ea897365599,
8,e8dfe49f0cdf4c8f4f7b7a84968637346a72f66d,
9,a210bc18b7a8e93b8794e7a9a058722d2fbca1f3,"I reflect on the last 30 years of mathematical sociology from my point of view as a student of the field 30 years ago and how I expected the field to grow and develop. I discuss how the problems and prospects that concerned me 30 years ago are still relevant today. In particular, I elaborate on the intellectual frustrations faced by formal sociologists, the need for new mathematics to capture social science insights, the diversity of inquiry and lack of unification in mathematical sociology, and the need for formalists to offer empirically grounded models that appeal to the general reader on the basis of the empirical puzzles they explain."
10,f509b2603d279e2a8bdefae8d5faf764ee45a212,"Economic, social and political inequality between different identity groups is an important contributor to violent conflicts within societies. To deepen our understanding of the underlying social dynamics, we develop a mathematical model describing cooperation and conflict in a society composed of multiple factions engaged in economic and political interactions. Our model predicts that growing economic and political inequality tends to lead to the collapse of cooperation between factions that were initially seeking to cooperate. Certain mechanisms can delay this process, including the decoupling of political and economic power through rule of law and allegiance to the state or dominant faction. Counterintuitively, anti-conformity (a social norm for independent action) can also stabilize society, by preventing initial defections from cooperation from cascading through society. However, the availability of certain material resources that can be acquired by the state without cooperation with other factions has the opposite effect. We test several of these predictions using a multivariate statistical analysis of data covering 75 countries worldwide. Using social unrest as a proxy for the breakdown of cooperation in society, we find support for many of the predictions from our theory."
11,17f73aac068573f3c4661f617c5ad573d5a196b0,
12,0c97113fb4e84710e357cd621cd3c5d438891d21,"In this paper we investigate a new source of information for syntactic category acquisition: sentence type (question, declarative, imperative). Sentence type correlates strongly with intonation patterns in most languages; we hypothesize that these intonation patterns are a valuable signal to a language learner, indicating different syntactic patterns. To test this hypothesis, we train a Bayesian Hidden Markov Model (and variants) on child-directed speech. We first show that simply training a separate model for each sentence type decreases performance due to sparse data. As an alternative, we propose two new models based on the BHMM in which sentence type is an observed variable which influences either emission or transition probabilities. Both models outperform a standard BHMM on data from English, Cantonese, and Dutch. This suggests that sentence type information available from intonational cues may be helpful for syntactic acquisition cross-linguistically."
